danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.6230,0.6470,10.0000,-7.5110,0.0000,0.0301,0.0220,0.0011,0.1090,0.2770,107.9960,195294.0000,0
0.5870,0.8010,5.0000,-4.3090,1.0000,0.1110,0.0479,0.0000,0.4540,0.2120,125.0260,193920.0000,0
0.5200,0.8240,2.0000,-4.2860,1.0000,0.0462,0.3240,0.0000,0.1470,0.5170,79.3900,260880.0000,0
0.5590,0.7990,9.0000,-5.8070,0.0000,0.0455,0.0004,0.0096,0.0609,0.3670,116.9750,202532.0000,0
0.6850,0.7880,2.0000,-11.4740,1.0000,0.0526,0.0018,0.0001,0.2010,0.6980,124.1580,235307.0000,0
0.8270,0.5670,1.0000,-10.0780,1.0000,0.2030,0.0508,0.0002,0.0622,0.6630,89.0700,306467.0000,0
0.7710,0.8320,10.0000,-6.9020,0.0000,0.1990,0.0059,0.0004,0.2730,0.8230,127.9870,472467.0000,0
0.4440,0.8190,10.0000,-4.0780,0.0000,0.3410,0.1060,0.0000,0.1070,0.7470,82.6950,187973.0000,0
0.8230,0.6300,7.0000,-3.9320,1.0000,0.0797,0.0348,0.0000,0.0964,0.1840,100.0400,235720.0000,0
0.4370,0.7640,9.0000,-9.0560,1.0000,0.0408,0.0008,0.0042,0.2020,0.4260,76.9770,200539.0000,0
0.6790,0.5560,4.0000,-9.1870,1.0000,0.0291,0.1060,0.0009,0.0952,0.1810,125.0020,259200.0000,0
0.7630,0.8400,8.0000,-3.7040,1.0000,0.0929,0.0346,0.0000,0.0601,0.7480,92.4770,287547.0000,0
0.6640,0.7050,1.0000,-4.9720,0.0000,0.0382,0.0654,0.0000,0.1150,0.4770,122.0170,257840.0000,0
0.9030,0.9360,8.0000,-4.9470,0.0000,0.0863,0.0076,0.0289,0.0188,0.7620,128.0000,217734.0000,0
0.7440,0.3850,9.0000,-10.2300,1.0000,0.0474,0.5890,0.0245,0.1110,0.8300,78.4940,234640.0000,0
0.7580,0.7850,9.0000,-9.4440,0.0000,0.0554,0.0072,0.0003,0.2670,0.5180,108.2960,221800.0000,0
0.6080,0.5480,2.0000,-7.8290,1.0000,0.0346,0.5940,0.0003,0.1320,0.3970,88.0340,205143.0000,0
0.5530,0.5670,7.0000,-8.6700,0.0000,0.1910,0.1760,0.0000,0.0954,0.2430,121.9000,192507.0000,0
0.6270,0.7620,6.0000,-3.9730,0.0000,0.3710,0.1670,0.0000,0.2410,0.7510,83.3920,174907.0000,0
0.6870,0.8580,7.0000,-6.4710,1.0000,0.2370,0.0141,0.0000,0.1580,0.3980,87.8690,239973.0000,0
0.7660,0.8250,10.0000,-5.2660,0.0000,0.0706,0.0498,0.0001,0.1040,0.5830,98.0070,308569.0000,0
0.7560,0.8510,2.0000,-3.3300,1.0000,0.0674,0.0336,0.0000,0.1260,0.9340,75.0140,200693.0000,0
0.5470,0.7950,8.0000,-3.7210,1.0000,0.0489,0.1450,0.0000,0.1100,0.7230,118.1180,186805.0000,0
0.4040,0.5150,5.0000,-11.9150,1.0000,0.0390,0.0978,0.0000,0.4890,0.4970,121.1760,122413.0000,0
0.8000,0.5350,7.0000,-6.6840,1.0000,0.1350,0.0713,0.0000,0.2130,0.4510,92.0270,209680.0000,0
0.5880,0.5870,0.0000,-7.7630,1.0000,0.0323,0.0122,0.0000,0.2440,0.3970,123.0180,195910.0000,0
0.7610,0.8990,10.0000,-3.0900,0.0000,0.1830,0.0135,0.0000,0.0719,0.6730,95.0270,217587.0000,0
0.6350,0.8680,4.0000,-5.6880,1.0000,0.0570,0.0004,0.7170,0.0606,0.0833,127.9620,318755.0000,0
0.7750,0.5730,11.0000,-4.9330,1.0000,0.0585,0.4950,0.0000,0.1260,0.6670,101.9250,171806.0000,0
0.8280,0.6090,1.0000,-4.4020,1.0000,0.0694,0.0916,0.0000,0.2910,0.7070,109.7250,292593.0000,0
0.1620,0.9720,2.0000,-4.4220,1.0000,0.0782,0.0069,0.0284,0.2900,0.2660,195.0410,195692.0000,0
0.5110,0.7240,0.0000,-4.3330,0.0000,0.0495,0.0773,0.0000,0.1550,0.1320,80.0100,244611.0000,0
0.5780,0.8210,10.0000,-10.5210,1.0000,0.0354,0.1280,0.0005,0.1600,0.4210,120.3700,289933.0000,0
0.4310,0.8940,5.0000,-2.6730,0.0000,0.3300,0.0951,0.0000,0.1880,0.6040,162.1930,258760.0000,0
0.7600,0.4790,2.0000,-5.5740,1.0000,0.0466,0.5560,0.0000,0.0703,0.9130,89.9110,158040.0000,0
0.5590,0.8620,7.0000,-7.8190,1.0000,0.0514,0.2830,0.0011,0.5460,0.4340,124.5960,308747.0000,0
0.8580,0.5260,0.0000,-6.9700,0.0000,0.1020,0.0179,0.7070,0.3560,0.3570,140.0200,208463.0000,0
0.5590,0.3650,5.0000,-13.6540,1.0000,0.0332,0.6860,0.0000,0.0771,0.5340,74.8020,277240.0000,0
0.5270,0.9070,4.0000,-3.0900,0.0000,0.1100,0.1540,0.0000,0.0993,0.6640,93.8130,188797.0000,0
0.6330,0.7770,9.0000,-4.9950,1.0000,0.0528,0.0094,0.0003,0.1670,0.2990,130.0270,171810.0000,0
0.5330,0.2790,1.0000,-13.1100,0.0000,0.1850,0.8600,0.1860,0.1600,0.5550,86.9590,135981.0000,0
0.7820,0.4360,2.0000,-7.0330,1.0000,0.1550,0.3310,0.0000,0.3420,0.2430,82.9940,268933.0000,0
0.7480,0.8190,10.0000,-4.0320,0.0000,0.1980,0.1300,0.0000,0.1110,0.7920,110.6450,187973.0000,0
0.6540,0.8590,0.0000,-4.3210,1.0000,0.1660,0.3360,0.0000,0.0947,0.7040,114.8700,191000.0000,0
0.6020,0.7840,11.0000,-7.9760,0.0000,0.0313,0.0040,0.0852,0.0931,0.9180,133.0190,263973.0000,0
0.7510,0.9200,9.0000,-5.6180,0.0000,0.0964,0.0050,0.0030,0.1270,0.6330,122.9910,148189.0000,0
